relative_path,line_number,keywords,line
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,62,censor,62	TARGET-40-PASKZZ	TARGET-40-PASKZZ	62	TARGET-40-PASKZZ	0.0	542.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	542.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,63,censor,63	TARGET-40-PASNZV	TARGET-40-PASNZV	63	TARGET-40-PASNZV	0.0	1747.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1747.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,64,censor,64	TARGET-40-PASRNE	TARGET-40-PASRNE	64	TARGET-40-PASRNE	0.0	1707.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1707.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,65,censor,65	TARGET-40-PASSLM	TARGET-40-PASSLM	65	TARGET-40-PASSLM	0.0	1865.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1865.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,66,censor,66	TARGET-40-PASUUH	TARGET-40-PASUUH	66	TARGET-40-PASUUH	0.0	1625.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1625.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,67,censor,67	TARGET-40-PASYUK	TARGET-40-PASYUK	67	TARGET-40-PASYUK	0.0	1870.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1870.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,68,censor,68	TARGET-40-PATAWV	TARGET-40-PATAWV	68	TARGET-40-PATAWV	0.0	1702.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1702.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,69,censor,69	TARGET-40-PATEEM	TARGET-40-PATEEM	69	TARGET-40-PATEEM	0.0	1451.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1451.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,70,censor,70	TARGET-40-PATJVI	TARGET-40-PATJVI	70	TARGET-40-PATJVI	0.0	1575.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1575.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,72,censor,72	TARGET-40-PATMIF	TARGET-40-PATMIF	72	TARGET-40-PATMIF	0.0	1580.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1580.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,75,censor,75	TARGET-40-PATPBS	TARGET-40-PATPBS	75	TARGET-40-PATPBS	0.0	1468.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1468.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,77,censor,77	TARGET-40-PAUBIT	TARGET-40-PAUBIT	77	TARGET-40-PAUBIT	0.0	1029.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1029.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,78,censor,78	TARGET-40-PAUTWB	TARGET-40-PAUTWB	78	TARGET-40-PAUTWB	0.0	687.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	687.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,80,censor,80	TARGET-40-PAUUML	TARGET-40-PAUUML	80	TARGET-40-PAUUML	0.0	672.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	672.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,83,censor,83	TARGET-40-PAUYTT	TARGET-40-PAUYTT	83	TARGET-40-PAUYTT	0.0	579.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	579.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,84,censor,84	TARGET-40-PAVALD	TARGET-40-PAVALD	84	TARGET-40-PAVALD	0.0	551.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	551.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,85,censor,85	TARGET-40-PAVCLP	TARGET-40-PAVCLP	85	TARGET-40-PAVCLP	0.0	511.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	511.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,86,censor,86	TARGET-40-PAVDTY	TARGET-40-PAVDTY	86	TARGET-40-PAVDTY	0.0	369.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	369.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,87,censor,87	TARGET-40-PAVECB	TARGET-40-PAVECB	87	TARGET-40-PAVECB	0.0	476.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	476.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,1,os_event;os_time_days,sample_index_88	sample_id	case_key	clinical_row_index	clinical_identifier	os_event_raw	os_time_days_raw	event_parse_status	time_parse_status	endpoint_complete	os_event_parsed	os_time_days_parsed
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,2,censor,0	TARGET-40-0A4HLD	TARGET-40-0A4HLD	0	TARGET-40-0A4HLD	0.0	3946.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	3946.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,3,censor,1	TARGET-40-0A4HMC	TARGET-40-0A4HMC	1	TARGET-40-0A4HMC	0.0	377.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	377.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,4,censor,2	TARGET-40-0A4HX8	TARGET-40-0A4HX8	2	TARGET-40-0A4HX8	0.0	3050.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	3050.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,5,censor,3	TARGET-40-0A4HXS	TARGET-40-0A4HXS	3	TARGET-40-0A4HXS	0.0	2948.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	2948.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,8,censor,6	TARGET-40-0A4I0S	TARGET-40-0A4I0S	6	TARGET-40-0A4I0S	0.0	603.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	603.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,9,censor,7	TARGET-40-0A4I0W	TARGET-40-0A4I0W	7	TARGET-40-0A4I0W	0.0	683.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	683.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,10,censor,8	TARGET-40-0A4I3S	TARGET-40-0A4I3S	8	TARGET-40-0A4I3S	0.0	1844.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1844.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,12,censor,10	TARGET-40-0A4I48	TARGET-40-0A4I48	10	TARGET-40-0A4I48	0.0	1616.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1616.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,14,censor,12	TARGET-40-0A4I4M	TARGET-40-0A4I4M	12	TARGET-40-0A4I4M	0.0	708.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	708.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,16,censor,14	TARGET-40-0A4I5B	TARGET-40-0A4I5B	14	TARGET-40-0A4I5B	0.0	619.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	619.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,17,censor,15	TARGET-40-0A4I65	TARGET-40-0A4I65	15	TARGET-40-0A4I65	0.0	5840.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	5840.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,19,censor,17	TARGET-40-0A4I8U	TARGET-40-0A4I8U	17	TARGET-40-0A4I8U	0.0	983.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	983.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,20,censor,18	TARGET-40-0A4I9K	TARGET-40-0A4I9K	18	TARGET-40-0A4I9K	0.0	2257.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	2257.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,21,censor,19	TARGET-40-PAKFVX	TARGET-40-PAKFVX	19	TARGET-40-PAKFVX	0.0	922.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	922.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,22,censor,20	TARGET-40-PAKUZU	TARGET-40-PAKUZU	20	TARGET-40-PAKUZU	0.0	0.0	PARSED_NUMERIC_CENSORED	PARSED_ZERO_TIME	True	0.0	0.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,23,censor,21	TARGET-40-PAKXLD	TARGET-40-PAKXLD	21	TARGET-40-PAKXLD	0.0	2462.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	2462.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,27,censor,25	TARGET-40-PALHRL	TARGET-40-PALHRL	25	TARGET-40-PALHRL	0.0	4374.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	4374.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,28,censor,26	TARGET-40-PALKDP	TARGET-40-PALKDP	26	TARGET-40-PALKDP	0.0	3282.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	3282.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,29,censor,27	TARGET-40-PALKGN	TARGET-40-PALKGN	27	TARGET-40-PALKGN	0.0	2122.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	2122.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,30,censor,28	TARGET-40-PALWWX	TARGET-40-PALWWX	28	TARGET-40-PALWWX	0.0	2163.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	2163.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,33,censor,31	TARGET-40-PAMHLF	TARGET-40-PAMHLF	31	TARGET-40-PAMHLF	0.0	1913.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1913.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,34,censor,32	TARGET-40-PAMHYN	TARGET-40-PAMHYN	32	TARGET-40-PAMHYN	0.0	3900.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	3900.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,38,censor,36	TARGET-40-PAMTCM	TARGET-40-PAMTCM	36	TARGET-40-PAMTCM	0.0	3002.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	3002.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,40,censor,38	TARGET-40-PANGPE	TARGET-40-PANGPE	38	TARGET-40-PANGPE	0.0	3378.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	3378.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,41,censor,39	TARGET-40-PANGRW	TARGET-40-PANGRW	39	TARGET-40-PANGRW	0.0	3378.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	3378.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,44,censor,42	TARGET-40-PANSEN	TARGET-40-PANSEN	42	TARGET-40-PANSEN	0.0	2256.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	2256.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,45,censor,43	TARGET-40-PANVJJ	TARGET-40-PANVJJ	43	TARGET-40-PANVJJ	0.0	3095.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	3095.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,46,censor,44	TARGET-40-PANXSC	TARGET-40-PANXSC	44	TARGET-40-PANXSC	0.0	1217.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1217.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,47,censor,45	TARGET-40-PANZHX	TARGET-40-PANZHX	45	TARGET-40-PANZHX	0.0	1323.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1323.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,48,censor,46	TARGET-40-PANZZJ	TARGET-40-PANZZJ	46	TARGET-40-PANZZJ	0.0	1538.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1538.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,50,censor,48	TARGET-40-PAPIJR	TARGET-40-PAPIJR	48	TARGET-40-PAPIJR	0.0	1719.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1719.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,53,censor,51	TARGET-40-PAPWWC	TARGET-40-PAPWWC	51	TARGET-40-PAPWWC	0.0	2520.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	2520.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,54,censor,52	TARGET-40-PAPXGT	TARGET-40-PAPXGT	52	TARGET-40-PAPXGT	0.0	2526.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	2526.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,55,censor,53	TARGET-40-PARBGW	TARGET-40-PARBGW	53	TARGET-40-PARBGW	0.0	286.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	286.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,58,censor,56	TARGET-40-PARGTM	TARGET-40-PARGTM	56	TARGET-40-PARGTM	0.0	2610.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	2610.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,61,censor,59	TARGET-40-PASEBY	TARGET-40-PASEBY	59	TARGET-40-PASEBY	0.0	2049.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	2049.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,62,censor,60	TARGET-40-PASEFS	TARGET-40-PASEFS	60	TARGET-40-PASEFS	0.0	2112.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	2112.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,63,censor,61	TARGET-40-PASFCV	TARGET-40-PASFCV	61	TARGET-40-PASFCV	0.0	2062.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	2062.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,64,censor,62	TARGET-40-PASKZZ	TARGET-40-PASKZZ	62	TARGET-40-PASKZZ	0.0	542.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	542.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,65,censor,63	TARGET-40-PASNZV	TARGET-40-PASNZV	63	TARGET-40-PASNZV	0.0	1747.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1747.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,66,censor,64	TARGET-40-PASRNE	TARGET-40-PASRNE	64	TARGET-40-PASRNE	0.0	1707.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1707.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,67,censor,65	TARGET-40-PASSLM	TARGET-40-PASSLM	65	TARGET-40-PASSLM	0.0	1865.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1865.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,68,censor,66	TARGET-40-PASUUH	TARGET-40-PASUUH	66	TARGET-40-PASUUH	0.0	1625.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1625.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,69,censor,67	TARGET-40-PASYUK	TARGET-40-PASYUK	67	TARGET-40-PASYUK	0.0	1870.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1870.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,70,censor,68	TARGET-40-PATAWV	TARGET-40-PATAWV	68	TARGET-40-PATAWV	0.0	1702.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1702.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,71,censor,69	TARGET-40-PATEEM	TARGET-40-PATEEM	69	TARGET-40-PATEEM	0.0	1451.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1451.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,72,censor,70	TARGET-40-PATJVI	TARGET-40-PATJVI	70	TARGET-40-PATJVI	0.0	1575.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1575.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,74,censor,72	TARGET-40-PATMIF	TARGET-40-PATMIF	72	TARGET-40-PATMIF	0.0	1580.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1580.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,77,censor,75	TARGET-40-PATPBS	TARGET-40-PATPBS	75	TARGET-40-PATPBS	0.0	1468.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1468.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,79,censor,77	TARGET-40-PAUBIT	TARGET-40-PAUBIT	77	TARGET-40-PAUBIT	0.0	1029.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	1029.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,80,censor,78	TARGET-40-PAUTWB	TARGET-40-PAUTWB	78	TARGET-40-PAUTWB	0.0	687.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	687.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,82,censor,80	TARGET-40-PAUUML	TARGET-40-PAUUML	80	TARGET-40-PAUUML	0.0	672.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	672.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,85,censor,83	TARGET-40-PAUYTT	TARGET-40-PAUYTT	83	TARGET-40-PAUYTT	0.0	579.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	579.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,86,censor,84	TARGET-40-PAVALD	TARGET-40-PAVALD	84	TARGET-40-PAVALD	0.0	551.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	551.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,87,censor,85	TARGET-40-PAVCLP	TARGET-40-PAVCLP	85	TARGET-40-PAVCLP	0.0	511.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	511.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,88,censor,86	TARGET-40-PAVDTY	TARGET-40-PAVDTY	86	TARGET-40-PAVDTY	0.0	369.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	369.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,89,censor,87	TARGET-40-PAVECB	TARGET-40-PAVECB	87	TARGET-40-PAVECB	0.0	476.0	PARSED_NUMERIC_CENSORED	PARSED_POSITIVE_TIME	True	0.0	476.0
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_incomplete_primary_endpoint_roster.tsv,1,os_event;os_time_days,sample_index_88	sample_id	case_key	clinical_row_index	clinical_identifier	os_event_raw	os_time_days_raw	event_parse_status	time_parse_status	endpoint_complete	os_event_parsed	os_time_days_parsed
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,27,fold,from sklearn.model_selection import StratifiedKFold
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,28,surv,from sksurv.util import Surv
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,66,outer,OUTER_SPLITS = 5
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,67,outer;repeat,OUTER_REPEATS = 20
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,75,repeat,MIN_VALID_REPEATS = 16
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,78,tau,UNO_TAU_QUANTILE = 0.90
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,289,surv,def _make_surv(
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,293,surv,return Surv.from_arrays(
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,384,breslow;surv,def _breslow_survival_from_fixed_risk(
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,389,eval_times,"eval_times: np.ndarray,"
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,392,breslow,Target-training-only Breslow baseline recalibration for a fixed risk score.
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,413,eval_times,eval_times = np.asarray(
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,414,eval_times,"eval_times,"
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,424,breslow,"""Non-finite Breslow input."""
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,462,breslow,"""Invalid Breslow risk-set sum."""
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,478,eval_times,"eval_times,"
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,483,eval_times,"len(eval_times),"
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,506,fold,def _fold_metrics(
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,515,surv,y_train = _make_surv(
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,519,surv,y_test = _make_surv(
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,531,tau,"quantile=UNO_TAU_QUANTILE,"
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,543,surv,survival = (
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,544,breslow;surv,_breslow_survival_from_fixed_risk(
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,553,brier;integrated_brier,ibs = m04c.integrated_brier_custom(
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,556,surv,"survival,"
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,589,fold,def fit_predict_fold(
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,595,repeat,"repeat: int,"
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,596,fold;outer,"outer_fold: int,"
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,600,fold;outer,Fit/predict all frozen TARGET models for one outer fold.
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,629,surv,y_train = _make_surv(
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,646,repeat,+ int(repeat) * 100
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,647,fold;outer,+ int(outer_fold)
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,815,repeat,+ int(repeat) * 100003
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,816,fold;outer,+ int(outer_fold) * 1009
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,1003,repeat,def _aggregate_repeat_metric(
results\human_posthold_descriptive\05f2c_v2\runner\frozen_TARGET_evaluation_runner_v2.py,1004,fold,"fold_frame: pd.DataFrame,"
